物件名,賃料,管理費,敷金,礼金,仲介金,所在地,部屋の階数,間取り,面積,アクセス1,URL
ヒトコブラクダのまるみ,"140,000円","管理費10,000円",なし,なし,1.1ヶ月,東京都豊島区,103号室,2K,36.49㎡,大塚駅 徒歩7分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1001341195/
ひょいと飛石ステップ,"147,000円","管理費15,000円",1ヶ月,なし,1.1ヶ月,東京都台東区,202号室,1LDK,30.2㎡,浅草橋駅 徒歩4分(東京都浅草線),https://www.goodrooms.jp/tokyo/detail/001/1001341197/
おこもり上手,"127,000円","管理費15,000円",なし,なし,1.1ヶ月,東京都墨田区,302号室,1SLDK,36.56㎡,曳舟駅 徒歩8分(東武伊勢崎・大師線),https://www.goodrooms.jp/tokyo/detail/001/1000261998/
真っ赤なドアを開けたなら。,"144,000円","管理費5,000円",1ヶ月,なし,1.1ヶ月,東京都世田谷区,305号室,1LDK,40.5㎡,桜新町駅 徒歩8分(東急田園都市線),https://www.goodrooms.jp/tokyo/detail/001/1001278192/
ル シャンヴェール,"129,000円","管理費6,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,101号室,1LDK,40.87㎡,下丸子駅 徒歩6分(東急多摩川線),https://www.goodrooms.jp/tokyo/detail/001/1000730284/
日差しの輝く白空間。,"169,000円","管理費12,000円",なし,なし,1.1ヶ月,東京都文京区,401号室,1LDK,41.41㎡,巣鴨駅 徒歩6分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1001326216/
まるでコックピット,"169,000円","管理費15,000円",なし,なし,1.1ヶ月,東京都台東区,1101号室,1LDK,40.03㎡,浅草駅 徒歩7分(つくばエクスプレス),https://www.goodrooms.jp/tokyo/detail/001/1001121984/
明るい食事の時間,"140,000円",管理費なし,1ヶ月,2ヶ月,なし,東京都板橋区,101号室,3LDK,75.0㎡,志村三丁目駅 徒歩6分(東京都三田線),https://www.goodrooms.jp/tokyo/detail/001/1001016694/
嬉しい気持ちが交差する,"170,000円","管理費5,000円",なし,1ヶ月,1.21ヶ月,東京都新宿区,402号室,1SLDK,40.58㎡,落合駅 徒歩1分(東京地下鉄東西線),https://www.goodrooms.jp/tokyo/detail/001/1001338452/
インサイドヴィレッジ,"110,000円",管理費なし,11万円,11万円,1.1ヶ月,東京都品川区,0101号室,2DK,34.5㎡,大井町駅 徒歩11分(京浜東北・根岸線),https://www.goodrooms.jp/tokyo/detail/001/1001342804/
贅沢な仕事とOFF,"183,000円","管理費15,000円",1ヶ月,なし,1.1ヶ月,東京都台東区,1004号室,1LDK,46.41㎡,秋葉原駅 徒歩9分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1000967075/
秘密基地に下りたら,"165,000円","管理費5,000円",1ヶ月,なし,1.1ヶ月,東京都目黒区,102号室,1LDK,44.38㎡,西小山駅 徒歩9分(東急目黒線),https://www.goodrooms.jp/tokyo/detail/001/1001321521/
うちカフェは気まぐれに,"102,000円","管理費18,000円",なし,なし,1.1ヶ月,東京都大田区,102号室,1LDK,26.61㎡,梅屋敷駅 徒歩9分(京浜急行電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001289286/
ニュー池尻マンション,"127,000円","管理費3,000円",12.7万円,なし,1.1ヶ月,東京都世田谷区,0205号室,1LDK,34.76㎡,池尻大橋駅 徒歩8分(東急田園都市線),https://www.goodrooms.jp/tokyo/detail/001/1001336319/
y'sビル,"135,000円","管理費3,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都品川区,201号室,1LDK,57.29㎡,大井町駅 徒歩7分(京浜東北・根岸線),https://www.goodrooms.jp/tokyo/detail/001/1001342445/
今日も語り明かそう,"96,000円","管理費4,000円",9.6万円,9.6万円,1.1ヶ月,東京都杉並区,102号室,2K,35.0㎡,高円寺駅 徒歩9分(中央本線),https://www.goodrooms.jp/tokyo/detail/001/1000467073/
見上げて、見下ろして,"155,000円",管理費なし,1ヶ月,なし,1.1ヶ月,東京都文京区,104号室,1LDK,42.63㎡,春日駅 徒歩3分(東京都大江戸線),https://www.goodrooms.jp/tokyo/detail/001/1001321956/
クローバーハウス,"96,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都板橋区,203号室,1LDK,44.91㎡,本蓮沼駅 徒歩3分(東京都三田線),https://www.goodrooms.jp/tokyo/detail/001/1001340748/
ワンだほう,"191,000円","管理費8,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都渋谷区,403号室,1LDK,33.2㎡,代々木公園駅 徒歩4分(東京地下鉄千代田線),https://www.goodrooms.jp/tokyo/detail/001/1001301028/
青空ビューは君と一緒に,"171,000円","管理費15,000円",なし,なし,1.1ヶ月,東京都台東区,1102号室,1LDK,40.69㎡,浅草駅 徒歩7分(つくばエクスプレス),https://www.goodrooms.jp/tokyo/detail/001/1001121987/
夕暮れとコロッケ,"85,000円","管理費4,000円",なし,なし,1.1ヶ月,東京都荒川区,601号室,2K,40.0㎡,町屋駅 徒歩2分(東京地下鉄千代田線),https://www.goodrooms.jp/tokyo/detail/001/1001293977/
おこもりヌック,"126,000円","管理費12,000円",なし,なし,1.1ヶ月,東京都世田谷区,202号室,1LDK,31.46㎡,世田谷代田駅 徒歩4分(小田急電鉄小田原線),https://www.goodrooms.jp/tokyo/detail/001/1001136485/
フレグラントオリーブ,"150,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都世田谷区,102号室,2LDK,72.0㎡,千歳船橋駅 徒歩4分(小田急電鉄小田原線),https://www.goodrooms.jp/tokyo/detail/001/1001279506/
リスのほっぺ,"100,000円","管理費10,000円",10万円,なし,1.1ヶ月,東京都江戸川区,1002号室,2DK,45.0㎡,平井駅 徒歩3分(総武・中央緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001195310/
商店街の屋根を見ちゃう,"160,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都北区,402号室,1LDK,59.87㎡,赤羽駅 徒歩7分(京浜東北・根岸線),https://www.goodrooms.jp/tokyo/detail/001/1001339132/
ドキドキが煌いてる,"104,000円","管理費3,000円",なし,なし,1.1ヶ月,東京都板橋区,402号室,2K,37.58㎡,ときわ台駅 徒歩8分(東武鉄道東上線),https://www.goodrooms.jp/tokyo/detail/001/1000682500/
With D.C.,"137,000円","管理費6,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,201号室,1LDK,44.8㎡,多摩川駅 徒歩10分(東急東横線),https://www.goodrooms.jp/tokyo/detail/001/1001343668/
Meanui kinshicho(メアヌイ錦糸町),"172,000円","管理費10,500円",1ヶ月,1ヶ月,1.1ヶ月,東京都墨田区,0405号室,1LDK,43.69㎡,錦糸町駅 徒歩6分(東京地下鉄半蔵門線),https://www.goodrooms.jp/tokyo/detail/001/1001299779/
ランチボックスに詰め込んで,"110,000円","管理費5,000円",なし,1ヶ月,1.1ヶ月,東京都足立区,203号室,1LDK,43.13㎡,綾瀬駅 徒歩4分(千代田・常磐緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001197806/
じっくり、ゆっくり、ぐっすり,"140,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都目黒区,102号室,1LDK,40.15㎡,武蔵小山駅 徒歩7分(東急目黒線),https://www.goodrooms.jp/tokyo/detail/001/1000855288/
プラザさいわい,"117,000円","管理費3,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都板橋区,203号室,2SDK,50.0㎡,大山駅 徒歩9分(東武鉄道東上線),https://www.goodrooms.jp/tokyo/detail/001/1001344171/
一日は珈琲から。,"103,000円","管理費4,000円",10.3万円,なし,1.1ヶ月,東京都杉並区,107号室,1LDK,36.85㎡,井荻駅 徒歩3分(西武鉄道新宿線),https://www.goodrooms.jp/tokyo/detail/001/1000725943/
サンフィールド,"87,000円","管理費3,000円",1ヶ月,1ヶ月,なし,東京都墨田区,101号室,1LDK,35.01㎡,京成曳舟駅 徒歩6分(京成電鉄押上線),https://www.goodrooms.jp/tokyo/detail/001/1000987789/
ロミオとジュリエットのよう,"110,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都世田谷区,C号室,1LDK,35.94㎡,桜新町駅 徒歩8分(東急田園都市線),https://www.goodrooms.jp/tokyo/detail/001/1001331027/
デコレーションするように,"167,000円","管理費8,000円",なし,なし,1.1ヶ月,東京都新宿区,402号室,2K,44.6㎡,飯田橋駅 徒歩7分(東京都大江戸線),https://www.goodrooms.jp/tokyo/detail/001/1001196986/
白と黒とメリハリと。,"129,000円","管理費10,000円",なし,なし,1.1ヶ月,東京都品川区,101号室,1LDK,32.78㎡,武蔵小山駅 徒歩5分(東急目黒線),https://www.goodrooms.jp/tokyo/detail/001/1001337203/
まっさら、さらさら,"112,000円","管理費12,000円",なし,なし,1.1ヶ月,東京都杉並区,205号室,2K,27.93㎡,荻窪駅 徒歩9分(中央本線),https://www.goodrooms.jp/tokyo/detail/001/1001126826/
ノーブル上野毛Ａ,"82,000円","管理費2,000円",1ヶ月,なし,1.1ヶ月,東京都世田谷区,202号室,2DK,35.91㎡,上野毛駅 徒歩10分(東急大井町線),https://www.goodrooms.jp/tokyo/detail/001/1001341695/
ZOOM月島,"188,000円","管理費11,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都中央区,801号室,1LDK,40.7㎡,月島駅 徒歩6分(東京都大江戸線),https://www.goodrooms.jp/tokyo/detail/001/1000704040/
灯りの元に,"110,000円","管理費5,000円",なし,なし,1.1ヶ月,東京都大田区,202 号室,1LDK,28.9㎡,久が原駅 徒歩4分(東急池上線),https://www.goodrooms.jp/tokyo/detail/001/1001325613/
Ｍ´ｓ　Ｏｊｉｍａ,"130,000円","管理費7,000円",なし,13万円,1.1ヶ月,東京都江東区,302号室,1LDK,49.41㎡,大島駅 徒歩6分(東京都新宿線),https://www.goodrooms.jp/tokyo/detail/001/1001342459/
あかるい宇宙,"138,000円","管理費8,000円",1ヶ月,なし,1.1ヶ月,東京都大田区,101号室,1LDK,41.07㎡,下丸子駅 徒歩5分(東急多摩川線),https://www.goodrooms.jp/tokyo/detail/001/1001326251/
D'クラディア山手大塚,"155,000円","管理費10,000円",15.5万円,なし,なし,東京都豊島区,0407号室,1LDK,52.05㎡,大塚駅 徒歩2分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1000575402/
一生窓辺でゴロゴロしたい。,"153,000円","管理費12,000円",なし,なし,なし,東京都大田区,3階,1LDK,44.16㎡,西馬込駅 徒歩3分(東京都浅草線),https://www.goodrooms.jp/tokyo/detail/001/1000147606/
さりげなく、煌めく。,"177,000円","管理費18,000円",1ヶ月,なし,1.1ヶ月,東京都新宿区,403号室,1LDK,38.96㎡,江戸川橋駅 徒歩6分(東京地下鉄有楽町線),https://www.goodrooms.jp/tokyo/detail/001/1001330466/
レンガに恋して,"133,000円","管理費6,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都品川区,405号室,1LDK,32.02㎡,大井町駅 徒歩8分(京浜東北・根岸線),https://www.goodrooms.jp/tokyo/detail/001/1001144409/
リビエラヴィラージュグランデ,"155,000円","管理費4,000円",なし,なし,1.1ヶ月,東京都世田谷区,101号室,1LDK,42.22㎡,駒場東大前駅 徒歩8分(京王電鉄井の頭線),https://www.goodrooms.jp/tokyo/detail/001/1000835242/
アーティスティックに生きる,"156,000円","管理費12,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都文京区,401号室,1LDK,40.7㎡,白山駅 徒歩7分(東京都三田線),https://www.goodrooms.jp/tokyo/detail/001/1000504297/
洒落っ気DKここにあり。,"105,000円","管理費3,000円",なし,1ヶ月,1.1ヶ月,東京都板橋区,203号室,3DK,54.0㎡,高島平駅 徒歩10分(東京都三田線),https://www.goodrooms.jp/tokyo/detail/001/1000093577/
気に入ってくれるかな,"137,000円","管理費15,000円",2ヶ月,なし,1.1ヶ月,東京都練馬区,404号室,1LDK,34.4㎡,氷川台駅 徒歩5分(東京地下鉄有楽町線),https://www.goodrooms.jp/tokyo/detail/001/1001301010/
セントレージタルガ,"97,000円","管理費3,000円",なし,1ヶ月,1.1ヶ月,東京都板橋区,201号室,2DK,40.78㎡,小竹向原駅 徒歩7分(東京地下鉄副都心線),https://www.goodrooms.jp/tokyo/detail/001/1001342452/
私のものさし,"151,000円","管理費10,000円",なし,1ヶ月,1.1ヶ月,東京都新宿区,601号室,1LDK,33.92㎡,牛込神楽坂駅 徒歩3分(東京都大江戸線),https://www.goodrooms.jp/tokyo/detail/001/1000318123/
ニッカン見次ハイツ,"127,000円","管理費13,000円",2ヶ月,なし,1.1ヶ月,東京都板橋区,5階,3LDK,73.6㎡,志村坂上駅 徒歩8分(東京都三田線),https://www.goodrooms.jp/tokyo/detail/001/1001342711/
江戸の粋をそばに感じて,"160,000円","管理費8,000円",16万円,16万円,1.1ヶ月,東京都台東区,0501号室,1LDK,49.94㎡,浅草駅 徒歩5分(つくばエクスプレス),https://www.goodrooms.jp/tokyo/detail/001/1000497091/
ヴェルーテ,"116,000円","管理費4,000円",11.6万円,11.6万円,1.1ヶ月,東京都世田谷区,101号室,1LDK,42.1㎡,世田谷駅 徒歩4分(東急世田谷線),https://www.goodrooms.jp/tokyo/detail/001/1001307614/
憧れをこの手に,"133,000円","管理費6,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都品川区,403号室,1LDK,32.02㎡,大井町駅 徒歩8分(京浜東北・根岸線),https://www.goodrooms.jp/tokyo/detail/001/1001113453/
さらさら降るように,"105,000円","管理費3,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都北区,203号室,2K,31.35㎡,赤羽駅 徒歩7分(京浜東北・根岸線),https://www.goodrooms.jp/tokyo/detail/001/1000794934/
フォレストメゾン,"119,000円","管理費3,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,103号室,1LDK,42.4㎡,洗足池駅 徒歩10分(東急池上線),https://www.goodrooms.jp/tokyo/detail/001/1001334067/
NTビル,"92,000円","管理費3,000円",1ヶ月,なし,1.1ヶ月,東京都大田区,401号室,2DK,38.0㎡,沼部駅 徒歩1分(東急多摩川線),https://www.goodrooms.jp/tokyo/detail/001/1001194909/
スナン１１７,"137,000円","管理費12,000円",1ヶ月,なし,1.1ヶ月,東京都豊島区,708号室,2DK,43.2㎡,池袋駅 徒歩4分(東京地下鉄副都心線),https://www.goodrooms.jp/tokyo/detail/001/1001340749/
Ｇｒｅｅｎ　Ｆｏｒｅｓｔ　Ｇｏｈｏｎｇｉ,"180,000円","管理費3,000円",なし,1ヶ月,1.1ヶ月,東京都目黒区,206号室,2LDK,58.03㎡,学芸大学駅 徒歩7分(東急東横線),https://www.goodrooms.jp/tokyo/detail/001/1000861125/
ふらりと風も立ち寄れば,"189,000円","管理費9,000円",なし,なし,なし,東京都文京区,301号室,1LDK,42.54㎡,本駒込駅 徒歩9分(東京地下鉄南北線),https://www.goodrooms.jp/tokyo/detail/001/1000811101/
ボヌールアラマンダ,"147,000円","管理費7,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都目黒区,107号室,1LDK,36.58㎡,都立大学駅 徒歩9分(東急東横線),https://www.goodrooms.jp/tokyo/detail/001/1000960713/
Brillia ist 渋谷本町,"170,000円","管理費15,000円",1ヶ月,なし,1.1ヶ月,東京都渋谷区,504号室,1LDK,33.52㎡,西新宿五丁目駅 徒歩8分(東京都大江戸線),https://www.goodrooms.jp/tokyo/detail/001/1001320721/
おもてなしは丁寧に,"158,000円","管理費10,000円",なし,なし,1.1ヶ月,東京都渋谷区,304号室,1LDK,33.13㎡,参宮橋駅 徒歩4分(小田急電鉄小田原線),https://www.goodrooms.jp/tokyo/detail/001/1001341192/
ぐぅっと鳴る配色,"143,000円","管理費12,000円",なし,なし,1.1ヶ月,東京都文京区,303号室,1LDK,32.54㎡,巣鴨駅 徒歩6分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1001324643/
使いやすいってこういうこと。,"131,000円","管理費7,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都北区,103号室,1LDK,42.08㎡,北赤羽駅 徒歩7分(埼京線),https://www.goodrooms.jp/tokyo/detail/001/1001014150/
コーポ碑文谷,"141,000円","管理費6,000円",2ヶ月,なし,1.1ヶ月,東京都目黒区,101号室,1LDK,47.83㎡,学芸大学駅 徒歩10分(東急東横線),https://www.goodrooms.jp/tokyo/detail/001/1001329636/
ZOOM荻窪,"177,000円","管理費20,000円",なし,なし,1.1ヶ月,東京都杉並区,404号室,1LDK,40.91㎡,荻窪駅 徒歩9分(中央本線),https://www.goodrooms.jp/tokyo/detail/001/1001122715/
上石神井ロイヤルハイツ,"105,000円","管理費5,000円",1ヶ月,なし,1.1ヶ月,東京都練馬区,104号室,3DK,51.0㎡,上石神井駅 徒歩7分(西武鉄道新宿線),https://www.goodrooms.jp/tokyo/detail/001/1001301835/
目覚めのカウンターで。,"133,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都杉並区,403号室,1LDK,30.61㎡,代田橋駅 徒歩6分(京王電鉄京王線),https://www.goodrooms.jp/tokyo/detail/001/1001338481/
KS070,"155,000円","管理費10,000円",15.5万円,15.5万円,1.1ヶ月,東京都品川区,0802号室,1LDK,40.68㎡,品川駅 徒歩10分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1001344179/
ラ・クール・ケー,"140,000円","管理費5,000円",なし,なし,1.1ヶ月,東京都豊島区,502号室,1LDK,44.21㎡,要町駅 徒歩2分(東京地下鉄有楽町線),https://www.goodrooms.jp/tokyo/detail/001/1001314933/
マウロア東池袋,"125,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都豊島区,502号室,1LDK,40.28㎡,東池袋駅 徒歩1分(東京地下鉄有楽町線),https://www.goodrooms.jp/tokyo/detail/001/1001343141/
セトルN,"104,000円","管理費4,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都豊島区,202号室,1LDK,41.73㎡,池袋駅 徒歩5分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1001339744/
お気に入りのレシピ本,"183,000円","管理費15,000円",1ヶ月,なし,1.1ヶ月,東京都文京区,0901号室,1LDK,40.3㎡,千駄木駅 徒歩5分(東京地下鉄千代田線),https://www.goodrooms.jp/tokyo/detail/001/1000206076/
ＣＯＮＫＥＲＳ,"109,000円","管理費3,000円",なし,1ヶ月,1.1ヶ月,東京都世田谷区,A1号室,1LDK,34.78㎡,雪が谷大塚駅 徒歩9分(東急池上線),https://www.goodrooms.jp/tokyo/detail/001/1001322120/
ペットと暮らす都市型ライフ,"177,000円","管理費15,000円",1ヶ月,0.5ヶ月,1.1ヶ月,東京都台東区,205号室,1LDK,46.41㎡,秋葉原駅 徒歩9分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1000517014/
はりねずみとライムグリーン,"136,000円","管理費6,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都品川区,301号室,2DK,40.46㎡,新馬場駅 徒歩5分(京浜急行電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001328914/
風が水面をつれてゆく,"114,000円","管理費6,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都杉並区,301号室,2K,29.25㎡,西荻窪駅 徒歩5分(総武・中央緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001268384/
生活に彩りを,"120,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都杉並区,401号室,1LDK,39.63㎡,高井戸駅 徒歩5分(京王電鉄井の頭線),https://www.goodrooms.jp/tokyo/detail/001/1001306149/
ボクノ・ギャラリー,"175,000円","管理費12,000円",1ヶ月,なし,1.1ヶ月,東京都新宿区,102号室,1LDK,48.46㎡,高田馬場駅 徒歩4分(東京地下鉄東西線),https://www.goodrooms.jp/tokyo/detail/001/1001046219/
モノクロ世界,"142,000円","管理費8,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都世田谷区,106号室,1LDK,43.25㎡,若林駅 徒歩5分(東急世田谷線),https://www.goodrooms.jp/tokyo/detail/001/1000025107/
宝の在処はここさ,"161,000円","管理費5,000円",なし,1ヶ月,1.1ヶ月,東京都豊島区,101号室,1LDK,52.12㎡,椎名町駅 徒歩5分(西武池袋・豊島線),https://www.goodrooms.jp/tokyo/detail/001/1001006153/
光の回廊、北欧仕立て。,"112,000円","管理費18,000円",なし,なし,1.1ヶ月,東京都豊島区,301号室,1LDK,26.61㎡,巣鴨駅 徒歩7分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1000550058/
江東区亀戸７丁目戸建,"190,000円",管理費なし,1ヶ月,1ヶ月,1.1ヶ月,東京都江東区,1号室,3LDK,69.96㎡,亀戸駅 徒歩11分(総武・中央緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001328050/
ZOOM高田馬場,"133,000円","管理費8,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都新宿区,201号室,2K,32.68㎡,高田馬場駅 徒歩9分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1000911268/
グランフォレスト,"120,000円","管理費7,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都杉並区,307号室,1LDK,44.55㎡,上北沢駅 徒歩5分(京王電鉄京王線),https://www.goodrooms.jp/tokyo/detail/001/1001340759/
三角に住む。,"143,000円","管理費15,000円",なし,なし,1.1ヶ月,東京都新宿区,201号室,1LDK,31.2㎡,江戸川橋駅 徒歩5分(東京地下鉄有楽町線),https://www.goodrooms.jp/tokyo/detail/001/1001339947/
